Artista,Artista Album,Titolo,Posizione,Durata,Album,Anno,Paese,Etichetta,Catalogo,Formato,Genere,Stile,Cartella,URL Discogs,Cover,Written By,Crediti Traccia,Note
Farley 'Jackmaster' Funk,Various,Funkin' With The Drums Again (Farley (Oh My God) Mix),B1,,Trax House Masters,1988,UK,Blatant (2),BLATLP 7,Vinyl / LP | Compilation,Electronic,"House, Acid House",Comp. Est,https://www.discogs.com/release/68213-Various-Trax-House-Masters,https://i.discogs.com/Xvnm_c3kLwwQDgn3gRRToiN9U-mmSgBAfk5sBqtzK-M/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY4MjEz/LTE1NTIzMDU4MzQt/MTI4NS5qcGVn.jpeg,,,
Phuture,Various,Your Only Friend,B2,,Trax House Masters,1988,UK,Blatant (2),BLATLP 7,Vinyl / LP | Compilation,Electronic,"House, Acid House",Comp. Est,https://www.discogs.com/release/68213-Various-Trax-House-Masters,https://i.discogs.com/Xvnm_c3kLwwQDgn3gRRToiN9U-mmSgBAfk5sBqtzK-M/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY4MjEz/LTE1NTIzMDU4MzQt/MTI4NS5qcGVn.jpeg,,,
Adonis,Various,Do It Properly (Adonis Mix),B3,,Trax House Masters,1988,UK,Blatant (2),BLATLP 7,Vinyl / LP | Compilation,Electronic,"House, Acid House",Comp. Est,https://www.discogs.com/release/68213-Various-Trax-House-Masters,https://i.discogs.com/Xvnm_c3kLwwQDgn3gRRToiN9U-mmSgBAfk5sBqtzK-M/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY4MjEz/LTE1NTIzMDU4MzQt/MTI4NS5qcGVn.jpeg,,,
Kevin Irving,Various,Just For You,B4,,Trax House Masters,1988,UK,Blatant (2),BLATLP 7,Vinyl / LP | Compilation,Electronic,"House, Acid House",Comp. Est,https://www.discogs.com/release/68213-Various-Trax-House-Masters,https://i.discogs.com/Xvnm_c3kLwwQDgn3gRRToiN9U-mmSgBAfk5sBqtzK-M/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY4MjEz/LTE1NTIzMDU4MzQt/MTI4NS5qcGVn.jpeg,,,
Phuture Pfantasy Club,Various,Got The Bug (G.T.B.),B5,,Trax House Masters,1988,UK,Blatant (2),BLATLP 7,Vinyl / LP | Compilation,Electronic,"House, Acid House",Comp. Est,https://www.discogs.com/release/68213-Various-Trax-House-Masters,https://i.discogs.com/Xvnm_c3kLwwQDgn3gRRToiN9U-mmSgBAfk5sBqtzK-M/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY4MjEz/LTE1NTIzMDU4MzQt/MTI4NS5qcGVn.jpeg,,,
The Rolling Stones,The Rolling Stones,(I Can't Get No) Satisfaction,A1,3:40,The Rolling Stones,1981,Italy,Curcio,GSR - 1,Vinyl / LP | Compilation | Stereo,Rock,Classic Rock,Comp. Est,https://www.discogs.com/release/2271145-The-Rolling-Stones-The-Rolling-Stones,https://i.discogs.com/BuKfYCjbSgcLEf40yv3ZA8O0Rq0ZsBD2FZiDn6gvres/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIyNzEx/NDUtMTMwNTEzNTk0/MS5qcGVn.jpeg,Jagger-Richards,Jagger-Richards [Written-By],
The Rolling Stones,The Rolling Stones,Lady Jane,A2,3:06,The Rolling Stones,1981,Italy,Curcio,GSR - 1,Vinyl / LP | Compilation | Stereo,Rock,Classic Rock,Comp. Est,https://www.discogs.com/release/2271145-The-Rolling-Stones-The-Rolling-Stones,https://i.discogs.com/BuKfYCjbSgcLEf40yv3ZA8O0Rq0ZsBD2FZiDn6gvres/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIyNzEx/NDUtMTMwNTEzNTk0/MS5qcGVn.jpeg,Jagger-Richards,Jagger-Richards [Written-By],
The Rolling Stones,The Rolling Stones,Walking The Dog,A3,3:10,The Rolling Stones,1981,Italy,Curcio,GSR - 1,Vinyl / LP | Compilation | Stereo,Rock,Classic Rock,Comp. Est,https://www.discogs.com/release/2271145-The-Rolling-Stones-The-Rolling-Stones,https://i.discogs.com/BuKfYCjbSgcLEf40yv3ZA8O0Rq0ZsBD2FZiDn6gvres/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIyNzEx/NDUtMTMwNTEzNTk0/MS5qcGVn.jpeg,Rufus Thomas,Rufus Thomas [Written-By],
The Rolling Stones,The Rolling Stones,Jumpin' Jack Flash,A4,3:13,The Rolling Stones,1981,Italy,Curcio,GSR - 1,Vinyl / LP | Compilation | Stereo,Rock,Classic Rock,Comp. Est,https://www.discogs.com/release/2271145-The-Rolling-Stones-The-Rolling-Stones,https://i.discogs.com/BuKfYCjbSgcLEf40yv3ZA8O0Rq0ZsBD2FZiDn6gvres/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIyNzEx/NDUtMTMwNTEzNTk0/MS5qcGVn.jpeg,Jagger-Richards,Jagger-Richards [Written-By],
The Rolling Stones,The Rolling Stones,Little By Little,A5,2:35,The Rolling Stones,1981,Italy,Curcio,GSR - 1,Vinyl / LP | Compilation | Stereo,Rock,Classic Rock,Comp. Est,https://www.discogs.com/release/2271145-The-Rolling-Stones-The-Rolling-Stones,https://i.discogs.com/BuKfYCjbSgcLEf40yv3ZA8O0Rq0ZsBD2FZiDn6gvres/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIyNzEx/NDUtMTMwNTEzNTk0/MS5qcGVn.jpeg,Nanker Phelge | Phil Spector,Nanker Phelge [Written-By] | Phil Spector [Written-By],
